month,value
1991-04,32.74090431376745
1991-05,33.81474375311219
1991-06,54.761893388302646
1991-07,47.45775359444858
1991-08,36.63136171897586
1991-09,99.17926083127817
1991-10,35.69851005506157
1991-11,80.84029639602858
1991-12,47.93236387527405
1992-01,124.26811247627535
1992-02,142.9145728363723
1992-03,19.416424918801635
1992-04,88.57292849790193
1992-05,135.17519848374184
1992-06,20.426339921970264
1992-07,17.8656889940833
1992-08,18.922580002521812
1992-09,71.26496735688544
1992-10,56.91103455712941
1992-11,126.32189332481596
1992-12,63.5456516225843
1993-01,115.15541221455398
1993-02,177.6433590452296
1993-03,53.74448212245626
1993-04,57.309956537679284
1993-05,10.779479023012476
1993-06,111.57577353401032
1993-07,104.04801873316805
1993-08,45.30875768029761
1993-09,164.9283327944175
1993-10,57.24255379470217
1993-11,173.71698398216736
1993-12,123.22196401469029
1994-01,85.44387194343315
1994-02,52.29262013196548
1994-03,145.4241488773097
1994-04,66.2832228480758
1994-05,28.258288175489742
1994-06,85.9142710793606
1994-07,27.53953787359667
1994-08,43.18055130345481
1994-09,20.277161651973195
1994-10,30.492135821453218
1994-11,96.86696352706714
1994-12,19.531423369524543
1995-01,27.089277423735236
1995-02,17.411091075441178
1995-03,25.263074874759198
1995-04,34.25600165783787
1995-05,30.562282982803506
1995-06,63.21054584376355
1995-07,32.79627588344276
1995-08,18.869053720045592
1995-09,25.219442887256573
1995-10,42.89949783083337
1995-11,88.40234576158305
1995-12,21.628071731625166
1996-01,24.981741315647604
1996-02,17.524326396373393
1996-03,27.580267970077166
1996-04,11.149225209842102
1996-05,45.33428689947944
1996-06,58.54236013622571
1996-07,11.789394026181098
1996-08,8.951770191578435
1996-09,15.82108381561611
1996-10,0.0
1996-11,30.33135100598605
1996-12,16.187828757303212
1997-01,14.52621120462072
1997-02,11.01380002141196
1997-03,4.189040668461843
1997-04,10.378407386846579
1997-05,15.669903773185068
1997-06,61.12159170709457
1997-07,7.892970798673449
1997-08,14.323727298169358
1997-09,26.078171826299023
1997-10,14.499893548722014
1997-11,73.6021062010088
1997-12,116.050321660837
1998-01,51.43043110392021
1998-02,65.08256735484774
1998-03,285.2937970452227
1998-04,99.93860272763628
1998-05,54.98941187534345
1998-06,186.5381281606826
1998-07,63.5213081880102
1998-08,89.76846579125967
1998-09,49.92734981128549
1998-10,31.12525146493579
1998-11,154.77245559237886
1998-12,131.8525643945305
1999-01,44.667775080488504
1999-02,31.318209981619116
1999-03,242.7471930549013
1999-04,101.95852520094898
1999-05,65.11706937107435
1999-06,30.468982469570463
1999-07,96.34422652725719
1999-08,61.65741631411772
1999-09,130.77275967377867
1999-10,82.84559317500978
1999-11,110.96964485057005
1999-12,93.83335075917188
2000-01,134.94166097406898
2000-02,235.05834954541336
2000-03,690.7642733654824
2000-04,232.40604571562133
2000-05,97.69408137334817
2000-06,364.4316136058919
2000-07,274.533518803282
2000-08,244.1584999024896
2000-09,933.1883422497328
2000-10,273.70884056566257
2000-11,153.02701187073984
2000-12,130.11682817746907
2001-01,355.7175211661051
2001-02,175.9509032760075
2001-03,183.2839147898059
2001-04,90.97638243602746
2001-05,132.2217098597523
2001-06,195.6703855652564
2001-07,229.18259641938164
2001-08,62.38913823629792
2001-09,245.18311191692837
2001-10,174.36089354217685
2001-11,513.6739278861035
2001-12,306.31083670763684
2002-01,104.91482767138794
2002-02,58.74673495273947
2002-03,148.20794109559233
2002-04,236.8687405518691
2002-05,76.53973694592517
2002-06,83.79501411847474
2002-07,48.433079569249685
2002-08,118.04583171388236
2002-09,192.92019964683752
2002-10,71.19102997106658
2002-11,62.784670727069454
2002-12,149.57811611211073
2003-01,276.68791954229437
2003-02,110.22931801563226
2003-03,209.87662946624178
2003-04,283.5110405358404
2003-05,89.65889810194756
2003-06,111.2635266255762
2003-07,65.54845751474852
2003-08,73.4299577111866
2003-09,197.18575886873057
2003-10,152.18969515853985
2003-11,49.37375729320437
2003-12,91.6408673010799
2004-01,83.95239213764961
2004-02,124.8002217369071
2004-03,274.08787283172023
2004-04,140.49543326870392
2004-05,436.2666080309467
2004-06,369.2190399298848
2004-07,99.86586745676513
2004-08,209.1330014551151
2004-09,165.93862792476094
2004-10,129.51650242110162
2004-11,45.85651225432688
2004-12,159.3825756231908
2005-01,105.61344785824231
2005-02,93.74671687281679
2005-03,252.7852897881312
2005-04,170.23751116016106
2005-05,51.99892259108904
2005-06,172.8463122318708
2005-07,52.7003066727998
2005-08,122.70791803352616
2005-09,168.29711692366487
2005-10,67.8263334080765
2005-11,48.52921488431555
2005-12,130.57891937435159
2006-01,99.8663399403745
2006-02,73.35536750348216
2006-03,125.7548886809822
2006-04,119.72687610064699
2006-05,88.20368229134246
2006-06,77.99442444867789
2006-07,47.204517327793745
2006-08,44.18883800864711
2006-09,155.8151880786732
2006-10,262.8267160355321
2006-11,126.1432506887541
2006-12,143.84978528189063
2007-01,175.2098304818237
2007-02,111.4852662681081
2007-03,98.87408845969456
2007-04,74.95643573881932
2007-05,54.52752932569891
2007-06,90.87427705084255
2007-07,95.83306828865764
2007-08,48.303382569759705
2007-09,170.21757707864896
2007-10,125.52202659186493
2007-11,242.6872478478873
2007-12,135.97022946354764
2008-01,139.2852482112364
2008-02,142.16503828719658
2008-03,162.28291819485693
2008-04,94.40816306720173
2008-05,349.4065312544224
2008-06,282.79252935152664
2008-07,148.27712972105886
2008-08,127.02973413446288
2008-09,175.10988478041548
2008-10,278.25245686115665
2008-11,149.746769956684
2008-12,259.47315556145435
2009-01,82.64181518830397
2009-02,78.50893373602402
