Date,price,transformed,daily return,YearMonth
1996-09-18,28.50548317046688,1.9048194970694432,0.01904819497069441,1996-09
1996-09-19,28.02740378815297,-1.6913722442061907,-0.016913722442061924,1996-09
1996-09-20,28.20668355652069,0.6376217139276275,0.006376217139276285,1996-09
1996-09-23,28.481579201351188,0.9698579079086223,0.00969857907908641,1996-09
1996-09-24,29.342122089516227,2.976656312987913,0.029766563129878888,1996-09
1996-09-25,29.401882012305464,0.20345886977874983,0.0020345886977874567,1996-09
1996-09-26,28.74452286162384,-2.261144638654722,-0.022611446386546916,1996-09
1996-09-27,29.401882012305464,2.261144638654722,0.02261144638654699,1996-09
1996-09-30,28.923802629991552,-1.6393809775676615,-0.016393809775676497,1996-09
1996-10-01,29.050511801541422,0.4371224551814379,0.004371224551814425,1996-10
1996-10-02,28.692599951830438,-1.2396852976828576,-0.012396852976828682,1996-10
1996-10-03,29.647031551059726,3.272275599086738,0.03272275599086755,1996-10
1996-10-04,29.527727601156062,-0.40322635279386176,-0.004032263527938563,1996-10
1996-10-07,30.124247350674366,2.000066670666989,0.020000666706669435,1996-10
1996-10-08,30.36285525048169,0.7889587275162757,0.007889587275162924,1996-10
1996-10-09,29.825987475915216,-1.7839918128331078,-0.017839918128331005,1996-10
1996-10-10,28.99085982658959,-2.8399474521697776,-0.028399474521698,1996-10
1996-10-11,29.408423651252402,1.4300550142196222,0.014300550142196332,1996-10
1996-10-14,30.42250722543352,3.390155167568132,0.033901551675681416,1996-10
1996-10-15,30.36285525048169,-0.19627091678486863,-0.001962709167848706,1996-10
1996-10-16,29.945291425818876,-1.3847896858793618,-0.013847896858793602,1996-10
1996-10-17,30.303203275529857,1.1881327886752668,0.011881327886752686,1996-10
1996-10-18,30.780419075144504,1.5625317903081193,0.015625317903081033,1996-10
1996-10-21,30.840071050096334,0.19361090268663617,0.0019361090268664007,1996-10
1996-10-22,30.76848868015414,-0.23237810611846932,-0.0023237810611846906,1996-10
1996-10-23,29.56351878612716,-3.994994369225724,-0.03994994369225709,1996-10
1996-10-24,29.289119701348742,-0.9325021960466806,-0.009325021960466789,1996-10
1996-10-25,29.587379576107896,1.0131798930407054,0.010131798930406955,1996-10
1996-10-28,29.527727601156062,-0.20181641562375674,-0.002018164156237236,1996-10
1996-10-29,28.811903901734098,-2.4541108916117604,-0.024541108916117545,1996-10
1996-10-30,29.11016377649325,1.0298752200574413,0.010298752200574473,1996-10
1996-10-31,27.73816835260115,-4.827800026579077,-0.048278000265790835,1996-10
1996-11-01,27.373978856319077,-1.3216498212070604,-0.013216498212070563,1996-11
1996-11-04,27.13594425756847,-0.8733679968754515,-0.008733679968754777,1996-11
1996-11-05,26.95741830850552,-0.6600684031352166,-0.006600684031352136,1996-11
1996-11-06,27.07643560788082,0.44052934679164046,0.004405293467916418,1996-11
1996-11-07,27.13594425756847,0.21953905634357618,0.002195390563435656,1996-11
1996-11-08,28.08808265257088,3.448617607116944,0.034486176071169404,1996-11
1996-11-11,27.79053940413263,-1.064972791665797,-0.010649727916658039,1996-11
1996-11-12,27.850048053820274,0.213903824874917,0.0021390382487492207,1996-11
1996-11-13,28.86169509851033,3.568059501983667,0.03568059501983655,1996-11
1996-11-14,28.980712397885632,0.411523214510634,0.0041152321451065794,1996-11
1996-11-15,28.742677799135024,-0.8247469430017418,-0.008247469430017338,1996-11
1996-11-18,28.38562590100913,-1.250016276423116,-0.012500162764231156,1996-11
1996-11-19,29.15923834694858,2.688890021633128,0.026888900216331,1996-11
1996-11-20,28.26660860163383,-3.1090587070031095,-0.031090587070031005,1996-11
1996-11-21,28.44513455069678,0.6295928456814703,0.0062959284568146106,1996-11
1996-11-22,28.742677799135024,1.0405921161116272,0.010405921161116601,1996-11
1996-11-25,30.646954589139835,6.4150247011163675,0.06415024701116365,1996-11
1996-11-26,28.207099951946173,-8.295957896865946,-0.08295957896865983,1996-11
1996-11-27,28.207099951946173,0.0,0.0,1996-11
1996-11-29,28.207099951946173,0.0,0.0,1996-11
1996-12-02,29.361999040076793,4.012757102397213,0.04012757102397247,1996-12
1996-12-03,29.48087353011759,0.40404095370050186,0.004040409537005127,1996-12
1996-12-04,29.718622510199182,0.8032171697264445,0.008032171697264253,1996-12
1996-12-05,30.431869450443962,2.3716526617315825,0.023716526617316065,1996-12
1996-12-06,30.431869450443962,0.0,0.0,1996-12
1996-12-09,29.896934245260375,-1.773445493976844,-0.01773445493976858,1996-12
1996-12-10,28.827063834893206,-3.6441279162255924,-0.03644127916225602,1996-12
1996-12-11,27.816630669546434,-3.568059501983667,-0.03568059501983645,1996-12
1996-12-12,28.232691384689225,1.4846508116994617,0.014846508116994638,1996-12
1996-12-13,29.0648128149748,2.904768544023062,0.029047685440230817,1996-12
1996-12-16,30.550743940484757,4.986077598029315,0.049860775980293086,1996-12
1996-12-17,30.550743940484757,0.0,0.0,1996-12
1996-12-18,30.96680465562755,1.352677629820187,0.013526776298201981,1996-12
1996-12-19,31.56117710583153,1.9011979488571917,0.019011979488571785,1996-12
1996-12-20,31.026241900647943,-1.7094433359300165,-0.017094433359300183,1996-12
1996-12-23,31.382865370770336,1.1428695823622714,0.01142869582362285,1996-12
1996-12-24,29.778059755219584,-5.2490182621396375,-0.05249018262139657,1996-12
1996-12-26,29.83749700023998,0.1994018606864323,0.0019940186068644495,1996-12
1996-12-27,29.956371490280777,0.39761483796394437,0.003976148379639417,1996-12
1996-12-30,30.134683225341973,0.5934735519814716,0.0059347355198145265,1996-12
1996-12-31,30.788492920566352,2.1464238668299718,0.021464238668299787,1996-12
1997-01-02,30.299718697629874,-1.600258513050079,-0.016002585130500586,1997-01
1997-01-03,30.299718697629874,0.0,0.0,1997-01
1997-01-06,31.129847977016993,2.7028672387919617,0.0270286723879192,1997-01
1997-01-07,31.129847977016993,0.0,0.0,1997-01
1997-01-08,31.485617668182904,1.1363758650314804,0.011363758650315223,1997-01
1997-01-09,31.189142925544644,-0.9460808504228702,-0.009460808504229073,1997-01
1997-01-10,31.01125807996169,-0.571974867278735,-0.005719748672786953,1997-01
1997-01-13,29.88465405793631,-3.7005195993554008,-0.03700519599355441,1997-01
1997-01-14,29.76606416088101,-0.39761483796394437,-0.0039761483796392945,1997-01
1997-01-15,30.774078285851083,3.330376347415953,0.03330376347415941,1997-01
1997-01-16,30.18112880057457,-1.9455866615365913,-0.019455866615365847,1997-01
1997-01-17,30.12183385204692,-0.19665689720409496,-0.001966568972040827,1997-01
1997-01-20,29.76606416088101,-1.1881327886752668,-0.011881327886752675,1997-01
1997-01-21,29.410294469715105,-1.2024192966801461,-0.0120241929668017,1997-01
1997-01-22,28.935934881493893,-1.6260520871780315,-0.01626052087178029,1997-01
1997-01-23,28.283690447689725,-2.2798914964806016,-0.022798914964806013,1997-01
1997-01-24,28.283690447689725,0.0,0.0,1997-01
1997-01-27,28.283690447689725,0.0,0.0,1997-01
1997-01-28,28.342985396217372,0.2094241603114444,0.002094241603114685,1997-01
1997-01-29,29.054524778549194,2.479465861321639,0.02479465861321649,1997-01
1997-01-30,29.410294469715105,1.2170535620255496,0.012170535620255335,1997-01
1997-01-31,28.639460138855632,-2.655927307235517,-0.026559273072354943,1997-01
1997-02-03,28.647317481180544,0.02743160883058593,0.0002743160883057589,1997-02
1997-02-04,28.410562791253437,-0.8298802814695083,-0.008298802814694955,1997-02
1997-02-05,28.29218544628988,-0.4175371410480633,-0.0041753714104806215,1997-02
1997-02-06,27.285978014099655,-3.621268949480738,-0.03621268949480753,1997-02
1997-02-07,26.398147926872984,-3.3079090976584347,-0.03307909097658454,1997-02
1997-02-10,26.57571394431832,0.6703935722190302,0.006703935722190355,1997-02
1997-02-11,26.457336599354765,-0.44642931286857923,-0.004464293128685381,1997-02
1997-02-12,25.74707252957343,-2.7212563524884548,-0.0272125635248847,1997-02
1997-02-13,26.161393236945873,1.5963850989014094,0.01596385098901399,1997-02
1997-02-14,26.51652527183654,1.3483350337286648,0.013483350337286988,1997-02
1997-02-18,26.634902616800098,0.4454350349380576,0.004454350349380375,1997-02
1997-02-19,26.81246863424543,0.6644542718668323,0.006644542718668511,1997-02
1997-02-20,25.983827219500537,-3.1392712407862344,-0.03139271240786272,1997-02
1997-02-21,25.569506512128093,-1.6073824831061234,-0.016073824831060908,1997-02
1997-02-24,24.85924244234676,-2.81708769666964,-0.028170876966696335,1997-02
1997-02-25,24.800053769864977,-0.23837913552759993,-0.002383791355276362,1997-02
1997-02-26,24.977619787310314,0.7134394113874176,0.007134394113874111,1997-02
1997-02-27,24.622487752419648,-1.4320053774748764,-0.014320053774748445,1997-02
1997-02-28,24.03060102760187,-2.4332100659530287,-0.02433210065953067,1997-02
1997-03-03,23.928524570610683,-0.4256817023143178,-0.004256817023143176,1997-03
1997-03-04,24.519352337786255,2.4391453124159135,0.024391453124159048,1997-03
1997-03-05,24.22393845419847,-1.2121360532344916,-0.012121360532344737,1997-03
1997-03-06,24.814766221374043,2.409755157906046,0.024097551579060524,1997-03
1997-03-07,25.228345658396943,1.6529301951210496,0.016529301951210506,1997-03
1997-03-10,24.22393845419847,-4.062685353027096,-0.040626853530271,1997-03
1997-03-11,23.81035901717557,-1.7220597751670397,-0.01722059775167052,1997-03
1997-03-12,24.342104007633587,2.20867874028432,0.022086787402843505,1997-03
1997-03-13,24.401186784351143,0.24242436115065047,0.0024242436115062545,1997-03
1997-03-14,25.169262881679387,3.09917533083377,0.030991753308337554,1997-03
1997-03-17,24.696600667938927,-1.8957913744614086,-0.01895791374461416,1997-03
1997-03-18,25.99642175572519,5.129329438755059,0.05129329438755069,1997-03
1997-03-19,25.99642175572519,0.0,0.0,1997-03
1997-03-20,25.99642175572519,0.0,0.0,1997-03
1997-03-21,25.641925095419843,-1.3730192811902242,-0.013730192811902131,1997-03
1997-03-24,24.814766221374043,-3.278982282299081,-0.03278982282299084,1997-03
1997-03-25,24.755683444656487,-0.23837913552759993,-0.0023837913552762504,1997-03
1997-03-26,24.401186784351143,-1.4423326961105154,-0.014423326961104939,1997-03
1997-03-27,24.4602695610687,0.24183808642814775,0.0024183808642816527,1997-03
1997-03-31,24.046690124045803,-1.7052788382719175,-0.017052788382719244,1997-03
1997-04-01,23.916292068022358,-0.5437459112936693,-0.005437459112936974,1997-04
1997-04-02,23.032685218218575,-3.7645599616367154,-0.03764559961636688,1997-04
1997-04-03,22.91487097157807,-0.5128216366919514,-0.0051282163669195665,1997-04
1997-04-04,22.561428231656556,-1.5544354437800223,-0.015544354437800232,1997-04
1997-04-07,22.679242478297063,0.5208345107138079,0.00520834510713826,1997-04
1997-04-08,22.797056724937566,0.5181358741997766,0.0051813587419975845,1997-04
1997-04-09,22.679242478297063,-0.5181358741997766,-0.005181358741997518,1997-04
1997-04-10,23.032685218218575,1.5464225697581657,0.015464225697581553,1997-04
1997-04-11,22.97377809489832,-0.25608208616736405,-0.002560820861673704,1997-04
1997-04-14,23.445035081460336,2.030526616074546,0.020305266160745523,1997-04
1997-04-15,23.091592341538828,-1.5190165493975005,-0.015190165493975007,1997-04
1997-04-16,22.797056724937566,-1.2837146760680707,-0.012837146760680831,1997-04
1997-04-17,22.97377809489832,0.7722046093910251,0.0077220460939103185,1997-04
1997-04-18,23.445035081460336,2.030526616074546,0.020305266160745523,1997-04
1997-04-21,23.975199191342607,2.2361180158157357,0.022361180158157325,1997-04
1997-04-22,23.091592341538828,-3.755134565213236,-0.03755134565213236,1997-04
1997-04-23,23.150499464859074,0.2547772078798527,0.00254777207879834,1997-04
1997-04-24,23.386127958140086,1.0126668817929119,0.010126668817929268,1997-04
1997-04-25,23.327220834819837,-0.2522069432709717,-0.002522069432709724,1997-04
1997-04-28,23.386127958140086,0.2522069432709717,0.0025220694327097175,1997-04
1997-04-29,24.03410631466286,2.7330893716971616,0.027330893716971266,1997-04
1997-04-30,23.79847782138185,-0.9852296443011888,-0.009852296443011707,1997-04
1997-05-01,23.406066722070516,-1.6626371159178088,-0.0166263711591783,1997-05
