month,value
1986-01,53.75769307832889
1986-02,83.78228502982122
1986-03,108.74537944818942
1986-04,89.87716482998533
1986-05,67.61822123742908
1986-06,50.931508628211766
1986-07,79.74053353881676
1986-08,69.99096587411545
1986-09,41.48841678791981
1986-10,48.83741039913101
1986-11,22.39140589851303
1986-12,24.498689882754654
1987-01,15.433134950588679
1987-02,27.74896079032651
1987-03,23.928416593553475
1987-04,14.49806604125393
1987-05,13.659506419907608
1987-06,13.469913131365912
1987-07,24.738648745119214
1987-08,23.79333348511752
1987-09,17.61081959922724
1987-10,17.752348562497637
1987-11,22.22808745462494
1987-12,47.28060899784913
1988-01,32.87910088216673
1988-02,23.3606020264933
1988-03,31.30068671495934
1988-04,30.28906046883786
1988-05,25.22333748646219
1988-06,23.30740918324046
1988-07,45.93429363638619
1988-08,22.765868400622217
1988-09,42.00918406418967
1988-10,56.79146142160841
1988-11,49.59363364119834
1988-12,42.97404970475174
1989-01,35.31792698592606
1989-02,23.357392588204736
1989-03,35.64862445083253
1989-04,66.0364992934263
1989-05,46.86260917211281
1989-06,36.99860697714497
1989-07,32.49876047214955
1989-08,20.425740098435124
1989-09,16.759771432263484
1989-10,16.902829698812248
1989-11,20.803402497766303
1989-12,25.42983133467817
1990-01,57.82032964479951
1990-02,25.086835370248455
1990-03,22.131978251145913
1990-04,47.96130819624422
1990-05,56.20686904629324
1990-06,45.24780830682766
1990-07,37.315248644431364
1990-08,101.68709010945626
1990-09,49.53381717016684
1990-10,103.03747385278008
1990-11,78.97808851264675
1990-12,43.980598267613324
1991-01,172.93717478660201
1991-02,57.861467099438876
1991-03,42.208842759028
1991-04,26.41643520372433
1991-05,20.218068018842178
1991-06,17.695459224557894
1991-07,19.773371889538918
1991-08,27.70090055048363
1991-09,13.845747879255748
1991-10,17.607711494527482
1991-11,25.869690005104435
1991-12,28.946399914261946
1992-01,30.2910509648865
1992-02,31.040740332923605
1992-03,18.643945623914494
1992-04,19.579032141638166
1992-05,23.82460277886662
1992-06,15.206283826398417
1992-07,11.783555997591593
1992-08,17.937000215119582
1992-09,12.477091992724276
1992-10,13.744753282182105
1992-11,18.46886209608831
1992-12,20.042863525681177
1993-01,30.04799131805177
1993-02,20.356256317736253
1993-03,20.430591863100744
1993-04,14.293082191962684
1993-05,15.446508918946913
1993-06,16.95157731175152
1993-07,30.420478562591114
1993-08,21.39496698405882
1993-09,30.235210895197156
1993-10,18.40939974789549
1993-11,29.195353457013518
1993-12,29.116082524234105
1994-01,33.683279454639155
1994-02,34.900062771492976
1994-03,34.37830808897695
1994-04,36.69553823872371
1994-05,28.186164273522017
1994-06,32.181458431547256
1994-07,24.800612293304503
1994-08,32.39300244434177
1994-09,22.50798605718414
1994-10,20.426500526126848
1994-11,22.545177418639447
1994-12,22.070024487013143
1995-01,26.55158753599853
1995-02,13.376763292102991
1995-03,19.461804525320144
1995-04,22.06495322767603
1995-05,21.597843241923623
1995-06,18.32593130532721
1995-07,14.894127852706573
1995-08,43.447611082824984
1995-09,25.313821031166274
1995-10,16.833791846042043
1995-11,17.850860242345227
1995-12,19.71786256124261
1996-01,34.81059160975667
1996-02,54.23179084089298
1996-03,49.74586603311037
1996-04,53.71724212073046
1996-05,41.53624429878837
1996-06,31.140055794174398
1996-07,31.056521535565768
1996-08,27.34912959764948
1996-09,34.00790554402203
1996-10,32.845385926420185
1996-11,45.551977421308735
1996-12,39.48501878033296
1997-01,27.543660080869635
1997-02,26.336982406179054
1997-03,35.65599749477396
1997-04,27.05149652184992
1997-05,32.15184346904083
1997-06,29.59974910485116
1997-07,31.985814087904096
1997-08,20.42355849492875
1997-09,17.01123152178095
1997-10,37.51159643315275
1997-11,25.886573191509903
1997-12,20.019680311469962
1998-01,40.81226719728509
1998-02,31.639305239297173
1998-03,61.3053597278994
1998-04,79.99888941277979
1998-05,50.67973910563312
1998-06,77.87871417345849
1998-07,39.731510329521605
1998-08,35.93968136784965
1998-09,31.60696631457319
1998-10,38.580592239895104
1998-11,50.457909208860926
1998-12,61.520488002549726
1999-01,45.90882738764651
1999-02,37.57233807291612
1999-03,31.182630873221207
1999-04,31.647322918206296
1999-05,34.39348119216106
1999-06,36.588234599691994
1999-07,29.36400928121597
1999-08,22.958165884612686
1999-09,23.148343836812934
1999-10,47.72402543446678
1999-11,43.805982670021734
1999-12,31.969232828137578
2000-01,49.13258843592821
2000-02,25.60434571481945
2000-03,48.00786039258271
2000-04,49.26575515703237
2000-05,38.99145311046305
2000-06,48.323915135281176
2000-07,44.97068619401727
2000-08,38.2698432647938
2000-09,53.35769172724425
2000-10,47.67823373921527
2000-11,33.29007365997315
2000-12,65.85311967168349
2001-01,41.094540728994275
2001-02,35.14281921608081
2001-03,30.762182252554155
2001-04,50.960209995573436
2001-05,28.822665048964456
2001-06,31.00669480908822
2001-07,31.002372180853804
2001-08,51.66815496388719
2001-09,73.3706213845289
2001-10,34.34778887422143
2001-11,73.87042558752283
2001-12,58.45429883959067
2002-01,45.857840361286165
2002-02,40.60084177102093
2002-03,19.712081935645735
2002-04,42.574484904872975
2002-05,39.62060364920845
2002-06,24.444871816766945
2002-07,26.496144978741075
2002-08,27.547148613296002
2002-09,31.415372144422786
2002-10,24.245897777795182
2002-11,32.09999610496405
2002-12,33.45556734306676
2003-01,43.68212156084678
2003-02,33.304575972020764
2003-03,93.67033338444398
2003-04,54.29710965492769
2003-05,33.429130481386885
2003-06,48.484844153066604
2003-07,23.541558986886894
2003-08,29.78662545670037
2003-09,35.415865043863455
2003-10,28.053641498263787
2003-11,40.574691321740595
